Player Name,Team,Position,positional_rating,rating_att,att_eff,att_vol,att_raw,rating_blk,blk_eff,blk_vol,blk_raw,rating_serv,serv_eff,serv_vol,serv_raw,rating_set,set_eff,set_vol,set_raw,rating_def,def_eff,def_vol,def_raw,rating_recv,recv_eff,recv_vol,recv_raw
Sani,ITA,OUTSIDE HITTER,30.9,31.4,0.83,0.4,0.3,15.54,0.25,0.24,0.09,3.89,0.06,0.11,0.02,0.0,0.0,0.0,0.0,37.35,3.0,0.39,0.45,0.0,-0.08,0.17,0.0
Sasak,POL,OPPOSITE SPIKER,50.67,46.21,0.82,0.56,0.45,21.25,0.17,0.35,0.13,25.56,0.1,0.44,0.1,0.23,0.16,0.01,0.0,9.98,0.27,0.3,0.12,0.0,0.0,0.0,0.0
Sato,JPN,MIDDLE BLOCKER,20.36,15.27,1.3,0.18,0.15,16.28,0.14,0.3,0.1,6.39,0.06,0.17,0.03,0.09,0.17,0.0,0.0,1.27,0.18,0.07,0.02,0.55,0.22,0.02,0.0
Savaş,TUR,MIDDLE BLOCKER,15.98,7.61,1.0,0.11,0.07,15.28,0.17,0.27,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.56,13.0,0.12,0.18,1.35,1.0,0.02,0.01
Sbertoli,ITA,SETTER,21.77,0.0,0.0,0.0,0.0,1.59,0.09,0.06,0.01,0.8,0.03,0.04,0.0,23.59,0.47,0.3,0.16,0.0,-0.33,0.11,0.0,0.0,0.0,0.0,0.0
Scarpa,ARG,LIBERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schnitzer,CAN,MIDDLE BLOCKER,6.93,5.85,0.92,0.09,0.06,5.41,0.14,0.13,0.03,0.95,0.03,0.04,0.0,0.0,0.0,0.0,0.0,2.26,1.5,0.06,0.03,0.0,0.0,0.01,0.0
Sclater,CAN,OPPOSITE SPIKER,28.5,21.93,0.74,0.31,0.21,14.03,0.19,0.24,0.08,6.04,0.05,0.17,0.02,0.0,0.0,0.0,0.0,17.88,2.0,0.25,0.22,0.44,0.25,0.01,0.0
Semeniuk,POL,OUTSIDE HITTER,47.14,43.85,0.95,0.5,0.43,4.07,0.1,0.12,0.02,21.48,0.11,0.36,0.09,0.06,0.04,0.01,0.0,15.26,0.58,0.32,0.19,28.86,0.36,0.38,0.19
Semeniuk,UKR,MIDDLE BLOCKER,100.0,51.8,1.47,0.48,0.5,100.0,0.27,1.0,0.59,10.73,0.05,0.3,0.04,0.1,0.14,0.01,0.0,5.78,0.38,0.18,0.07,0.88,0.09,0.04,0.01
Shchytkov,UKR,SETTER,46.64,1.51,1.0,0.03,0.01,3.24,0.07,0.11,0.02,5.12,0.05,0.15,0.02,47.48,0.36,0.59,0.32,10.46,0.59,0.24,0.13,0.0,0.0,0.0,0.0
Shimokawa,JPN,SETTER,18.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.98,0.45,0.25,0.13,6.23,2.0,0.11,0.08,0.0,0.0,0.0,0.0
